N,S,wire_ns,proto_ns
1,1,329,572
1,100,577,738
1,1000,1068,1894
1,10000,6638,8322
3,1,834,1486
3,100,1278,1960
3,1000,2953,3654
3,10000,17646,22322
5,1,1173,2532
5,100,2482,2676
5,1000,4526,5928
5,10000,30199,46741
10,1,2561,2684
10,100,3336,3704
10,1000,8793,10430
10,10000,69638,96382
50,1,16210,18792
50,100,21051,22936
50,1000,45030,64718
50,10000,388289,520763
100,1,25849,28459
100,100,31396,36964
100,1000,96540,123644
100,10000,1404611,1267374
300,1,74785,89185
300,100,93353,109927
300,1000,340460,495925
300,10000,4908032,5012818
