N,S,wire_ns,proto_ns
1,1,200,290
1,100,235,594
1,1000,578,3090
1,10000,3297,18077
3,1,574,631
3,100,640,1527
3,1000,1374,10058
3,10000,11330,45182
5,1,747,1008
5,100,810,2619
5,1000,2067,16459
5,10000,13533,12442
10,1,1787,1165
10,100,1347,1197
10,1000,3045,3403
10,10000,22175,33856
50,1,4789,7419
50,100,19754,9234
50,1000,27485,16236
50,10000,210099,171257
100,1,10431,9641
100,100,13226,11725
100,1000,32101,40656
100,10000,312614,353307
300,1,38123,32930
300,100,37901,31166
300,1000,130344,111275
300,10000,2172057,1592748
